Event-id,Event Name,claim-id,claim-url,claim-category,claim-text,claim-goldevidence
eid1,Momina Iqbal (Entertainment),c1,https://www.geo.tv/latest/594997-fact-check-claim-about-momina-iqbals-gender-identity-and-family-is-false,entertainment,"A user on X (formerly Twitter) posted: “Momina Iqbal is a great actress and has played some good roles. But today I found out that she is a transgender, and my respect for her has grown.”",g1
eid2,Terrorists(train hijack),c2,https://www.sochfactcheck.com/viral-clip-of-jaffar-express-hostages-released-by-bla-predates-hijacking-balochistan-pakistan/,"Conflict, palistan",A video shows civilians passengers released by the BLA a few hours after the separatist militant group hijacked the Jaffar Express in March 2025.,g2
eid3,accident,c3,https://www.geo.tv/latest/597000-water-tanker-runs-over-man-pregnant-wife-and-newborn-in-karachi,accident,"Water tanker runs over man, pregnant wife and newborn in Karachi",g3
eid4,political,c4,https://www.geo.tv/latest/593898-fact-check-claim-of-free-electricity-in-punjab-for-ramadan-debunked-as-false,political,"In Punjab, electricity bill will be free for the month of Ramadan"", which has since been shared over 125 times and liked over 1,400 times at the time of writing.",g4
eid5,social,c5,https://www.geo.tv/latest/587955-fact-check-viral-claim-of-pakistani-flag-burning-in-kurram-is-false,"Conflict, palistan","people burning the Pakistani flag, with the caption: ""Lower Kurram's Bagan area update: Today in the Bagan area of Kurram district, the people of Bagan set the flag of Pakistan on fire in broad daylight.""",g5
eid6,accident,c6,https://www.sochfactcheck.com/clip-of-dumper-truck-dragging-bikers-under-tyres-not-from-karachi-pakistan-but-agra-india/,accident, A video shows two men and their motorcycle being dragged under a dumper truck’s front tyres for a few hundred metres after it hit them and tried to speed away in Karachi.,g6
eid7,sports,c7,https://www.sochfactcheck.com/babar-azam-did-not-retire-from-international-cricket/,sports,Babar Azam announced his retirement from international cricket,g7
eid8,social,c8,https://www.geo.tv/latest/589576-american-woman-returns-home-after-spending-nearly-four-months-in-pakistan,social,Failed love story: American woman returns home after spending nearly four months in Pakistan,g8
eid9,Maulana tariq jameel bank account,c9,https://www.sochfactcheck.com/fia-is-not-pursuing-inquiry-against-maulana-tariq-jameel/#,religion," Journalist Waseem Badami recently asserted that the Federal Investigation Agency (FIA) had consolidated all of Maulana Tariq Jameel’s bank accounts, totalling PKR 49 billion.",g9
eid10,Scam Alert,c10,https://www.sochfactcheck.com/scam-alert-viral-video-spreads-false-information-about-us-visa-for-pakistanis/,social,Scam alert: viral video spreads false information about US visa for Pakistanis,g10
eid11,train hijack,c11,https://www.sochfactcheck.com/viral-clip-of-jaffar-express-hostages-released-by-bla-predates-hijacking-balochistan-pakistan/,"Conflict, palistan",A video shows civilians passengers released by the BLA a few hours after the separatist militant group hijacked the Jaffar Express in March 2025.,g11
eid12,BLA militants,c12,https://www.sochfactcheck.com/visual-dead-bodies-lying-in-desert-not-bla-militants-2025-jaffar-express-hijacking-balochistan-pakistan/,"Conflict, palistan",A picture shows the dead bodies of the BLA militants who were killed in an operation by the Pakistan Army after the armed group targeted and hijacked Jaffar Express on 11 March 2025.,g12
eid13,Taliban government,c13,https://www.sochfactcheck.com/trump-has-not-agreed-to-recognise-the-taliban-government/,"Conflict, palistan",Trump has agreed to recognise the government of Afghanistan.,g13
eid14,three-day visit to the US,c14,https://www.sochfactcheck.com/was-imran-khan-received-by-american-officials-on-2019-us-visit/,political,"On his three-day visit to the US in 2019, former premier Imran Khan was not received by any American official, forcing him to travel by metro train inside the US.",g14
eid15,train hijack,c15,https://www.sochfactcheck.com/jaffar-express-clip-does-not-show-pakistan-army-helicopters-operation-against-train-hijacking/,"Conflict, palistan",A video clip shows four army helicopters heading to Bolan to counter BLA militants who had hijacked Jaffar Express on 11 March 2025,g15
eid16,Imran Khan,c16,https://www.sochfactcheck.com/imran-khan-freed-from-jail-by-yahya-afridi/,political,The Chief Justice of Pakistan Yahya Afridi freed Imran Khan from jail,g16
eid17,train hijack,c17,https://www.sochfactcheck.com/video-does-not-show-bla-separatists-being-defeated-by-pakistan-army/,"Conflict, palistan",A video shows the Pakistani military’s operation against the Balochistan Liberation Army (BLA) after the hijacking of the Jaffar Express in Balochistan,g17
eid18,Dr Mahrang Baloch,c18,https://www.sochfactcheck.com/claims-of-mahrang-baloch-being-transgender-are-unfounded/,entertainment,"During a medical test, it was found that Dr Mahrang Baloch is transgender.",g18
eid19,Abdala church,c19,https://www.sochfactcheck.com/viral-video-of-anthem-not-from-new-zealand/,entertainment,A video shows the New Zealand government’s anthem featuring the 99 names of God which was performed at the Abdala church.,g19
eid20,Pakistan Tehreek-e-Insaf,c20,https://www.sochfactcheck.com/salman-akram-rajas-support-for-mahrang-baloch-establishes-pti-bla-link/,"Conflict, palistan",A video of Salman Akram Raja expressing support for Mahrang Baloch proves the Pakistan Tehreek-e-Insaf is linked to the Balochistan Liberation Army (BLA) and its attack on Jaffar Express.,g20
eid21,Bilawal Bhutto Zardari criticising,c21,https://www.sochfactcheck.com/did-bilawal-bhutto-criticise-pm-shehbaz-sharif-in-the-national-assembly/,political,A video shows Bilawal Bhutto Zardari criticising Shehbaz Sharif and the PML-N while speaking at the National Assembly.,g21
eid22,heated speech,c22,https://www.sochfactcheck.com/did-shazia-marri-criticise-the-federal-government-and-call-for-khans-release/,political,"During a heated speech in the National Assembly, Shazia Marri allegedly said, “Release Imran Khan, or you’ll have to face Trump’s wrath.",g22
eid23,Chief Justice Qazi Faez Isa,c23,https://www.sochfactcheck.com/justice-qazi-faez-isa-did-not-discuss-anti-pti-verdicts-in-oxford-union-speech/,political,"During a recent interview, former Chief Justice Qazi Faez Isa claimed that hidden powers influenced anti-PTI verdicts and his role was limited. ",g23
eid24, fresh banknotes,c24,https://www.sochfactcheck.com/sbp-is-issuing-fresh-banknotes-ahead-of-eid-ul-fitr-contrary-to-viral-claims-pakistan/,religion,The State Bank of Pakistan (SBP) will not issue fresh banknotes ahead of Eid-ul-Fitr this year.,g24
eid25,Baloch Liberation Army (BLA).,c25,https://www.sochfactcheck.com/old-blast-video-went-viral-after-bla-attacked-jaffar-express-train-in-balochistan/,"Conflict, palistan",A viral video on social media shows an improvised explosive device (IED) attack on Jaffar Express in Balochistan by the Baloch Liberation Army (BLA).,g25
eid26,ustice Mansoor Ali Shah,c26,https://www.sochfactcheck.com/did-justice-mansoor-ali-shah-call-for-imran-khans-return/,political,"Justice Mansoor Ali Shah said “For Pakistan’s better future, former Prime Minister Imran Khan must be brought back.”",g26
eid27,banned five Pakistani banks,c27,https://www.sochfactcheck.com/the-uk-has-not-banned-five-pakistani-banks-for-study-visa/,social,"The United Kingdom has banned five Pakistani banks from being used for submitting bank statements in student visa applications. These banks include UBL Bank, MCB Bank, National Bank of Pakistan, Faysal Bank, and Allied Bank.",g27
eid28,India vs. Pakistan match,c28,https://www.sochfactcheck.com/video-showing-indian-spectators-chanting-qaidi-number-804-is-dubbed/,political,A video shows Indian spectators chanting “Qaidi [Prisoner] Number 804” during the India vs. Pakistan match at the ICC Champions Trophy 2025 in Dubai,g28
eid29,Adiala jail,c29,https://www.sochfactcheck.com/did-hamid-mir-reported-on-alleged-altercation-between-imran-khan-and-army-officials-in-adiala-jail/,political,Hamid Mir revealed that Imran Khan recently slapped a colonel in Adiala jail.,g29
eid30,Turkish President Recep ,c30,https://www.sochfactcheck.com/recep-tayyip-erdogan-turkey-did-not-reminisce-about-imran-khan-during-2025-trip-to-pakistan/,political,Turkish President Recep Tayyip Erdo?an reminisced about Imran Khan while addressing the National Assembly during his February 2025 trip. He said he “wished” that he “could shake hands with” the former prime minister and hoped to “meet Imran Khan” in the future.,g30
eid31,New Zealand cricketer,c31,https://www.sochfactcheck.com/new-zealand-cricketer-rachin-ravindras-phone-was-not-stolen-during-the-icc-champions-trophy/,sports,New Zealand cricketer Rachin Ravindra’s phone was stolen from a hospital in Lahore where he was undergoing treatment for an injury,g31
eid32,birth to babies,c32,https://www.sochfactcheck.com/scam-alert-dubai-government-not-paying-salary-for-giving-birth/,social,"Dubai will give individuals 50,000 dirhams if they give birth to babies.",g32
eid33,Ukrainian President Volodymyr,c33,https://www.sochfactcheck.com/video-of-zelenskyy-dancing-in-red-dress-is-manipulated/,entertainment,A video shows Ukrainian President Volodymyr Zelenskyy dancing.,g33
eid34,Pakistan cricket team,c34,https://www.sochfactcheck.com/pakistan-becomes-first-host-team-to-get-eliminated-first-in-a-cricket-championship/,sports,The Pakistan cricket team is the first hosting team in history to get eliminated first in a championship.,g34
eid35,Sudan’s Defence Minister Aqeed Ibrahim,c35,https://www.sochfactcheck.com/pictures-show-before-and-after-of-sudans-defence-minister/,social," A collage of photos shows Sudan’s Defence Minister Aqeed Ibrahim, comparing how he appeared during his time in power to his current impoverished state.",g35
eid36,Qayamat has been postponed.,c36,https://www.sochfactcheck.com/doomsday-clock-2025-update-wrongly-linked-to-islamic-judgement-day-qayamat/,religion,Geo News reported that Qayamat has been postponed.,g36
eid37,Chief Minister of Punjab,c37,https://www.sochfactcheck.com/punjab-is-not-the-first-province-to-launch-electric-buses/,political,"Chief Minister of Punjab, Maryam Nawaz, stated that Punjab would be the first province in Pakistan to transition its mass transit system to electric vehicles.",g37
eid38,pothole-ridden road ,c38,https://www.sochfactcheck.com/video-of-pothole-ridden-road-not-from-karachi/,accident,A video shows vehicles bumping over a pothole-ridden road in Karachi.,g38
eid39,China in support of Imran Khan,c39,https://www.sochfactcheck.com/video-does-not-show-pti-rally-in-china/,sports,A rally was held in China in support of Imran Khan.  ,g39
eid40,Los Angeles wildfires,c40,https://www.sochfactcheck.com/viral-video-president-donald-trump-crying-los-angeles-wildfires-artificial-intelligence-ai-generated/,natural diseaster,A video shows Trump breaking down and crying over the January 2025 Los Angeles wildfires during a visit to the disaster site in California.,g40
eid41,accusing soldiers,c41,https://www.sochfactcheck.com/viral-video-of-man-accusing-army-of-sexual-assault-not-from-pakistan/,social, A video shows a man accusing soldiers of the Pakistan Army of assaulting his daughter.  ,g41
eid42,Army Staff General Asim Munir ,c42,https://www.sochfactcheck.com/shehbaz-sharif-did-not-mock-the-army-chief/,political,A video circulating online claims that Prime Minister Shehbaz Sharif accused Chief of Army Staff General Asim Munir of destroying the country and doing so in Sharif’s name.,g42
eid43,"Border Security Force’,",c43,https://www.sochfactcheck.com/bangladesh-did-not-abolish-its-army-or-replace-it-with-a-new-border-security-force/,social,"A viral post on social media claimed that the Bangladesh military has been abolished and replaced with a new ‘Border Security Force’, which exclusively handles border security. ",g43
eid44,US President Donald Trump,c44,https://www.sochfactcheck.com/audio-of-trump-calling-imran-khan-a-convict-is-a-deepfake/,social,US President Donald Trump called Imran Khan a convict who was involved in fraudulent cases. Trump further said that the Pakistani diaspora in the US urged him to advocate for the release of the jailed former Prime Minister of Pakistan.,g44
eid45,Pakistan-Afghanistan border ,c45,https://www.sochfactcheck.com/video-from-kurdish-turkish-conflict-falsely-linked-to-pakistan-army-operation-against-afghan-taliban/,"Conflict, palistan",A video shows Pakistani forces attacking a post by the Afghan Taliban near the Pakistan-Afghanistan border and also shooting down their quadcopter.,g45
eid46,Afghan Taliban.,c46,https://www.sochfactcheck.com/old-video-from-yemen-passed-off-as-from-conflict-between-pakistan-and-afghan-taliban/,"Conflict, palistan",Video shows the Pakistan Army opening fire at the Afghan Taliban.,g46
eid47,Toronto Pearson Airport,c47,https://www.sochfactcheck.com/ai-generated-image-of-delta-flight-4819-passed-off-as-a-real-depiction-of-the-incident/,social,The image shows a Delta passenger jet lying upside down after it made a rough landing and crashed at Toronto Pearson Airport in Canada on 17 February.,g47
eid48,Rawalpindi Cricket Stadium,c48,https://www.sochfactcheck.com/atta-tarar-was-not-heckled-at-rawalpindi-cricket-stadium/,sports,"Spectators at the Rawalpindi Cricket Stadium chanted against the Federal Minister for Information and Broadcasting Attaullah Tarar, calling him a thief [“chor chor”], when the camera focused on him.",g48
eid49,free visas.,c49,https://www.sochfactcheck.com/scam-alert-posts-falsely-featuring-geo-news-promise-free-england-visa/,social,"Geo News reported that England needed 50,000 urgent workers and 10 companies are offering free visas.",g49
eid50,National Stadium in Karachi,c50,https://www.sochfactcheck.com/did-crowd-chant-qaidi-number-804-to-babar-azam-at-national-stadium-karachi/,social, A video shows the crowd at the National Stadium in Karachi chanting “Qaidi Number 804” when batsman Babar Azam appeared to speak.,g50
eid51,Pakistani military chief Gen (r) ,c51,https://www.sochfactcheck.com/photo-does-not-show-gen-qamar-javed-bajwa-in-pool-with-woman-in-swimsuit-shefali-jariwala-father/,social,An image shows former Pakistani military chief Gen (r) Qamar Javed Bajwa in a swimming pool posing alongside a woman wearing a swimsuit.,g51
eid52, dogs on a street in Karachi,c52,https://www.sochfactcheck.com/viral-video-of-dog-attacking-woman-is-not-from-karachi/,social,A video shows an elderly woman being dragged and attacked by stray dogs on a street in Karachi. ,g52
eid53,US President Donald Trump,c53,https://www.sochfactcheck.com/donald-trump-did-not-make-any-statements-about-pakistans-political-scenario/,political,"An video clip circulating on social media supposedly features US President Donald Trump making statements about Imran Khan and Pakistan’s incumbent government in an interview. He can be heard criticising former US President Joe Biden, Prime Minister of Pakistan Shehbaz Sharif and the Pakistani Army.",g53
eid54, Pashtun Tahafuz Movement (PTM),c54,https://www.sochfactcheck.com/old-video-of-junaid-akbar-and-manzoor-pashteen-resurfaces-online/,political,"PTI’s Junaid Akbar recently met Manzoor Pashteen, founder and head of the Pashtun Tahafuz Movement (PTM) ahead of PTI’s rally on 8 February in Swabi.",g54
eid55,Donald Trump,c55,https://www.geo.tv/latest/597499-fact-check-deepfake-video-falsely-claims-trump-criticised-pakistans-treatment-of-christians,social,"On March 22, an Instagram user shared a 24-second video allegedly showing Donald Trump stating: “I know that Christians in Pakistan are living very difficult lives. False blasphemy accusations are made against them. Christian girls are forcibly converted to Islam and are called derogatory names like easi and chura. If the Pakistani government does not put an end to these injustices, I will bring all Pakistani Christians to America.",g55
eid56,New Zealand beat Pakistan ,c56,https://www.dawn.com/news/1902248/new-zealand-beat-pakistan-by-43-runs-to-sweep-odi-series-3-0,sports,New Zealand beat Pakistan by 43 runs to sweep ODI series 3-0,g56
eid57,Bushra Bibi,c57,https://www.sochfactcheck.com/did-bushra-bibi-address-a-crowd-unveiled/,social,"A video shows Bushra Bibi, wife of the former Prime Minister Imran Khan, addressing a crowd unveiled.",g57
eid58,Ali Amin Gandapur,c58,https://www.sochfactcheck.com/did-ali-amin-gandapur-accuse-bushra-bibi-of-corruption/,social,Ali Amin Gandapur accused Bushra Bibi of corruption and collecting extortion money in Peshawar.,g58
eid59,PTI protest,c59,https://www.sochfactcheck.com/old-video-of-doctor-resurfaces-amid-pti-protests/,political, A doctor displayed anger and frustration at the government after witnessing casualties from the recent PTI protest at D-Chowk.,g59
eid60,Nawaz Sharif,c60,https://www.sochfactcheck.com/nawaz-sharif-remarks-about-khawaja-asif-misrepresented-in-viral-video/,political,A video shows Nawaz Sharif belittling Khawaja Asif during a press conference.,g60
eid61,blocking a road in Islamabad,c61,https://www.sochfactcheck.com/picture-showing-road-flooded-with-containers-is-fake/,political,"A picture shows a sea of containers that were put in place ahead of the PTI’s November march, blocking a road in Islamabad.",g61
eid62,injured,c62,https://www.sochfactcheck.com/image-of-wounded-girl-misattributed-to-recent-parachinar-attack/,social,"An image of a wounded girl has surfaced on social media, who was injured during the recent violence in Parachinar.",g62
eid63,Sudan’s Defence Minister Aqeed Ibrahim,c63,https://www.sochfactcheck.com/pictures-show-before-and-after-of-sudans-defence-minister/,social,"A collage of photos shows Sudan’s Defence Minister Aqeed Ibrahim, comparing how he appeared during his time in power to his current impoverished state.",g63
eid64,mizmaxs,c64,https://www.sochfactcheck.com/fake-news-real-fraud-how-doctored-bulletins-tricked-victims-into-downloading-the-mizmaxs-scam-app/,social,"Geo News reported that a new mobile application called ‘mizmaxs’ allows you to earn PKR 1,200 as soon as you download it and you can keep earning more from that point.  The report also claims that you can earn money every 4 minutes if you have a phone with a touchscreen.",g64
eid65,Algerian boxer Imane Khelif,c65,https://www.sochfactcheck.com/imane-khelif-was-not-confirmed-to-be-a-man-by-medical-reports/,health,French medical reports show that Algerian boxer Imane Khelif was born as a man with XY chromosomes.,g65
eid66,Shahbaz Gill ,c66,https://www.sochfactcheck.com/doctored-image-of-a-siasat-pk-bulletin-misattributes-statement-to-shahbaz-gill/,social,"Shahbaz Gill defended Richard Grenell and spoke against criticisms of Grenell based on his sexual orientation, saying it is a sign of ignorance to criticise him for his sexuality.",g66
eid67,Sharia courts,c67,https://www.sochfactcheck.com/there-are-not-over-100-sharia-courts-in-the-uk/,social,There are now over 100 Sharia courts in the UK.,g67
eid68,highlands of Afghanistan,c68,https://www.sochfactcheck.com/a-taliban-member-shares-an-ai-generated-video-of-migratory-birds/,"Conflict, palistan", Migratory birds returned to the “highlands of Afghanistan” after the withdrawal of US-led international troops in 2021. A video showing numerous birds near the mountains serves as evidence.,g68
eid69,disabled children,c69,https://www.sochfactcheck.com/majority-of-disabled-children-in-uk-born-to-muslim-parents/,health,"50% of Muslims and 70% of Pakistanis in the UK are inbred, and the majority of disabled children in the UK are born to Muslim parents",g69
eid70,Jennifer Lopez ,c70,https://www.sochfactcheck.com/jennifer-lopez-wore-sacred-sword-during-riyadh-season/,entertainment,Pictures show Jennifer Lopez wearing a sacred sword during a performance at Riyadh Season 2024.,g70
eid71,religious minority,c71,https://www.sochfactcheck.com/video-shows-forced-conversion-in-pakistan/,religion,A video from Pakistan shows a woman from a religious minority being forcefully converted to Islam,g71
eid72,Palestinian,c72,https://www.sochfactcheck.com/video-does-not-show-women-participating-in-miss-palestine-2024/,religion,"A video shows Palestinian women wearing a burqa, a loose-fitting garment covering the whole body, participating in a beauty pageant.",g72
eid73,og meat from restaurants in Karachi.,c73,https://www.sochfactcheck.com/reports-about-authorities-seizing-slaughtered-dogs-kutta-karahi-kutta-biryani-are-false-super-highway-karachi/,health,Authorities have recovered slaughtered dogs and food made with dog meat from restaurants in Karachi.,g73
eid74,real-life Algerian boxer Imane Khelif,c74,https://www.sochfactcheck.com/south-park-character-not-comparable-to-boxer-imane-khelif/,sports,"Heather Swanson, a transgender cartoon character from the South Park animated series, is comparable to real-life Algerian boxer Imane Khelif.",g74
eid75, Israeli newspaper,c75,https://www.sochfactcheck.com/imran-khans-statement-on-jerusalem-posts-article-was-taken-out-of-context/,political, Imran Khan said “no one understood but the Israeli newspaper has praised me and said I am the only leader in Pakistan with credibility.”,g75
eid76,Pakistan army’s emblem,c76,https://www.sochfactcheck.com/did-kareena-kapoor-khan-pose-next-to-emblem-of-pakistan-army/,"Conflict, palistan"," Pakistan army’s emblem is engraved into a door of Pataudi House in Haryana, India",g76
eid77,Natasha Danish,c77,https://www.sochfactcheck.com/image-of-natasha-danish-driving-recklessly-is-someone-else-2/,accident,A widely circulated image shows Natasha Danish recording herself while driving recklessly. Natasha was involved in a deadly traffic accident in Karachi in August.,g77
eid78,song celebrating,c78,https://www.sochfactcheck.com/arab-singers-did-not-release-a-song-celebrating-israels-pager-attacks/,entertainment,Arab citizens and singers released a song celebrating Israel’s recent pager attacks in Lebanon.,g78
eid79,SBP shortlisted designs,c79,https://www.sochfactcheck.com/sbp-art-competition-results-misinterpreted-as-official-shortlisted-banknotes-pakistan/,social,"The SBP has shortlisted designs for the new banknotes, of which some will be selected as the official currency note after the Government of Pakistan’s approval.",g79
eid80,Barzakh,c80,https://www.sochfactcheck.com/indias-zindagi-channel-did-not-apologise-for-fantasy-tv-series-barzakh-adnan-hashmi-inspired-analyst/,entertainment,India’s Zindagi channel apologised to its viewers for the TV series “Barzakh” and took down all of the show’s episodes from YouTube.,g80
eid81,Hamas leader Ismail Haniyeh’s,c81,https://www.sochfactcheck.com/video-from-palestine-shared-as-ismail-haniyehs-last-moments/,health,Video shows injured Hamas leader Ismail Haniyeh’s last moments before his death. ,g81
eid82,Kababjees University,c82,https://www.sochfactcheck.com/kababjees-university-of-science-and-technology-does-not-exist/,education,Kababjees University of Science and Technology does not exist,g82
eid83,Elon Musk,c83,https://www.sochfactcheck.com/elon-musk-falsely-claims-that-google-has-placed-a-search-ban-on-donald-trump/,social,"Elon Musk alleged that Google has banned searches for Republican presidential candidate Donald Trump, preventing users from finding relevant results when searching for Trump’s name.",g83
eid84,ancient times,c84,https://www.sochfactcheck.com/mexican-artist-raul-cruz-work-stone-tablet-passed-off-as-proof-of-computers-in-ancient-times/,education,A stone tablet depicting a man in front of a computer proves technology existed in “ancient times”,g84
eid85,New technology,c85,https://www.sochfactcheck.com/showing-fingers-to-the-camera-will-not-necessarily-lead-to-identity-theft/,education,"New technology allows hackers to extract fingerprints from photographs posted online where a person’s fingertips are visible, when making a peace sign, for example. These biometric details can then be used to hack into someone’s phone or commit a range of cybercrimes, including bypassing authentication processes and hacking into banking accounts. A good way to mitigate this risk is by blurring the fingertips in the photographs that you post on social media. ",g85
eid86,Stanford University,c86,https://www.sochfactcheck.com/people-fall-for-satire-stating-elon-musk-acquired-stanford-university/,education,Elon Musk has acquired Stanford University.,g86
eid87,Confucius Institutes in Pakistan,c87,https://www.sochfactcheck.com/confucius-institutes-in-pakistan-have-not-been-shut-down/,education,All Confucius Institutes in Pakistan have been shut down. Confucius Institutes are Chinese language and culture centers set up through partnerships between universities in Pakistan and the Chinese International Education Foundation.,g87
eid88, citing Gallup Pakistan,c88,https://www.sochfactcheck.com/gallup-pakistan-did-not-say-that-75-of-pakistanis-have-never-read-a-book-outside-their-syllabus/,education,"A misleading tweet claimed that “75% Pakistanis have never read a book outside their syllabus,” citing Gallup Pakistan, a survey research and consultancy firm affiliated with Gallup International, as an official source",g88
eid89,Open AI’s new model O3,c89,https://www.sochfactcheck.com/open-ais-new-reasoning-model-o3-has-not-achieved-agi/,education, Open AI’s new model O3 will change everything since artificial general intelligence (AGI) is finally here.,g89
eid90, Parachinar,c90,https://www.sochfactcheck.com/old-video-linked-to-2024-attacks-on-shia-community-in-parachinar/,religion,"A violent video of a man being beaten up in a river, with his hands and feet tied together, is from the recent attacks on the Shia community in Parachinar.",g90
